Removed Pin From Net: NetName=USB_VCC Pin=C17-1
Removed Pin From Net: NetName=USB_VCC Pin=D1-1
Removed Pin From Net: NetName=RADIO_PA1 Pin=H9-4
Removed Pin From Net: NetName=RADIO_PA0 Pin=H9-5
Removed Pin From Net: NetName=GND Pin=J1-G1
Removed Pin From Net: NetName=GND Pin=J1-G2
Removed Pin From Net: NetName=USB_VCC Pin=L8-1
Removed Pin From Net: NetName=RADIO_PD10 Pin=Q1-19
Removed Pin From Net: NetName=RADIO_PD11 Pin=Q1-20
Removed Pin From Net: NetName=USB_VCC Pin=Q2-2
Removed Pin From Net: NetName=RADIO_PD11 Pin=Q2-5
Removed Pin From Net: NetName=VOUT Pin=Q2-14
Removed Pin From Net: NetName=NetL7_1 Pin=Q2-16
Removed Pin From Net: NetName=NetC1_1 Pin=R2-1
Removed Pin From Net: NetName=USB_VCC Pin=R7-2
Removed Pin From Net: NetName=GND Pin=R8-1
Removed Pin From Net: NetName=NetQ2_12 Pin=R13-1
Removed Pin From Net: NetName=NetQ2_8 Pin=R13-2
Removed Pin From Net: NetName=GND Pin=R16-1
Removed Pin From Net: NetName=NetQ2_12 Pin=R16-2
Removed Pin From Net: NetName=RADIO_PA1 Pin=TP9-1
Removed Pin From Net: NetName=RADIO_PA0 Pin=TP10-1
Removed Member From Class: ClassName=U_RF_Antenna_Power Member=J1
Removed Member From Class: ClassName=U_RF_Antenna_Power Member=R2
Removed Member From Class: ClassName=U_Power Member=R16
Change Component Footprint: Designator=R2 Old Footprint=Resistor 0402 New Footprint=Resistor 0603
Change Component Footprint: Designator=R13 Old Footprint=Resistor 0603 New Footprint=Resistor 0402
Change Component Comment : Designator=R2 Old Comment=RES 0R 0402 New Comment=RES 8.2M 0603
Change Component Comment : Designator=R13 Old Comment=RES 2.1M 0603 New Comment=RES 0R 0402
Change Component Comment : Designator=R7 Old Comment=RES 2M 0603 New Comment=RES 4.75M 0603
Change Component Comment : Designator=R8 Old Comment=RES 8M 0603 New Comment=RES 100R 0603
Change component parameters: Designator = "R2" ("R2"); Footprint = "Resistor 0402"; UniqueID = "\TXCKCBXO\ASFCWUGP" ("\TXCKCBXO\ASFCWUGP")
Change component parameters (AddParameter): Name = "Additional Feature"; Value = "LASER TRIMMABLE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/YAGO/YAGO-S-A0008145938/YAGO-S-A0008145938-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/YAGO/YAGO-S-A0008145938/YAGO-S-A0008145938-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/12561/rc0603-272842-12561446.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/12561/rc0603-272842-12561446.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/2453/pyu-r-int-thick-7-2453229.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/2453/pyu-r-int-thick-7-2453229.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/2453/pyu-r-int-thick-7-2453230.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/2453/pyu-r-int-thick-7-2453230.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/2453/pyu-r-int-thick-7-2453231.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
