Change Component Description : Designator=LED5 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED6 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED7 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED8 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED9 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED10 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED11 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED12 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED13 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED14 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED15 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED16 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED17 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED18 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED19 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED20 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED21 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED22 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED23 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED24 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED25 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED26 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED27 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED28 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED29 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED30 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED31 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED32 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED33 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED34 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED35 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED36 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED37 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED38 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED39 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED40 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED41 Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change Component Description : Designator=LED Old Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack New Description=NeoPixel Nano 2020 RGB LEDs - 10-Pack | Adafruit Industries 4684
Change component parameters: Designator = "C19" ("C19"); Footprint = "CAPACITOR 0603"; UniqueID = "\TXCKCBXO\AWCZXOOC" ("\TXCKCBXO\AWCZXOOC")
Change component parameters (AddParameter): Name = "Brand"; Value = "Murata Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "22 uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - in"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - mm"; Value = "1608"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/2047978.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/2047978.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MURE/MURE-S-A0004349797/MURE-S-A0004352371-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com:443/pdfs/VipMasterIC/IC/MURE/MURE-S-A0004349797/MURE-S-A0004352371-1.pdf?src-supplier=IHS+Markit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/29541/partnumbering-e-01-29541598.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/29541/partnumbering-e-01-29541598.pdf?src-supplier=Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Factory Pack Quantity"; Value = "4000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.8 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JESD-609 Code"; Value = "e3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1.6 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM188R61A226ME15D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Operating Temperature"; Value = "+ 85 C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Operating Temperature"; Value = "- 55 C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Multilayer"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Style"; Value = "SMTMeter"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing"; Value = "10000=0.03357, 20000=0.03118, 30000=0.02998, 50000=0.02865, 70000=0.02786, 100000=0.0271, 250000=0.02546 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.33, 10=0.226, 50=0.1506, 100=0.1279, 500=0.0903, 1000=0.079 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = "General Type MLCCs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "Multilayer Ceramic Capacitors MLCC - SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated DC Voltage (URdc)"; Value = "6.3V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "True"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "GRM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock"; Value = "350000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "849458"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "490-10476-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Characteristics Code"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Finish"; Value = "Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Wraparound"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20 %"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance  (fill in as +-)"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance (fill in as +-)"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Voltage and Temperature Derating Recommended Product"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Unit Weight"; Value = "0.000222 oz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "22uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating DC"; Value = "10 VDC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.8 mm"; VariantName = "[No Variations]"
